"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Hispanic or Latino/a/x","Male","Seattle Police Department","43","66.16","R","Active"
"White","Male","Construction and Inspections","60","59.55","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","28","32.31","T","Active"
"White","Male","Parks and Recreation Department","19","25.98","T","Active"
"White","Male","Seattle Center","58","49.34","R","Leave with Pay"
"Black or African American","Male","Parks and Recreation Department","61","52.18","R","Active"
"Black or African American","Male","Parks and Recreation Department","61","125.78","R","Active"
"Asian","Male","Seattle Public Library","27","34.20","R","Active"
"White","Male","Seattle City Light","48","49.34","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","34","44.29","R","Active"
"White","Male","Seattle Center","57","52.18","R","Active"
"American Indian or Alaska Native","Male","Seattle Department of Transportation","35","44.74","R","Active"
"Two or More Races","Male","Parks and Recreation Department","38","32.80","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","35","71.54","R","Active"
"White","Female","Parks and Recreation Department","64","43.36","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","56","49.67","R","Active"
"Two or More Races","Male","Human Services","54","53.27","R","Active"
"White","Male","Parks and Recreation Department","22","37.37","T","Active"
"White","Male","Information Technology","59","74.87","R","Active"
"White","Male","Seattle Fire Department","62","80.60","R","Active"
"Black or African American","Female","Seattle Public Utilities","56","33.42","R","Active"
"Asian","Female","Seattle Department of Transportation","56","63.06","R","Active"
"White","Male","Parks and Recreation Department","26","30.30","R","Active"
"Asian","Female","Seattle Fire Department","60","43.09","R","Active"
"White","Male","Finance and Administrative Service","57","53.63","R","Active"
"Not Specified","Female","Seattle Center","51","30.86","T","Active"
"White","Male","Seattle Police Department","38","53.27","R","Active"
"White","Female","Parks and Recreation Department","68","32.31","T","Active"
"Black or African American","Female","Seattle Municipal Courts","37","41.70","R","Active"
"White","Female","Human Services","28","44.42","R","Active"
"Asian","Male","Parks and Recreation Department","18","25.98","T","Active"
"Not Specified","Female","Parks and Recreation Department","17","20.76","T","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Seattle Police Department","38","78.75","R","Active"
"Two or More Races","Male","Parks and Recreation Department","19","25.98","T","Active"
"White","Non-Specified","Community Safety and Communication Center","33","62.02","R","Active"
"Black or African American","Male","Seattle City Light","61","31.68","R","Active"
"Asian","Female","Seattle Public Library","51","43.43","R","Active"
"White","Male","Seattle Department of Transportation","39","103.41","R","Active"
"Asian","Female","Seattle Public Library","47","45.60","R","Active"
"White","Male","Seattle Police Department","46","67.46","R","Active"
"White","Male","Finance and Administrative Service","44","30.26","R","Active"
"Asian","Female","Parks and Recreation Department","19","21.78","T","Active"
"Asian","Male","Construction and Inspections","62","69.80","R","Active"
"White","Male","Construction and Inspections","47","89.15","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"Not Specified","Female","Law Department","30","48.41","R","Active"
"Two or More Races","Female","Seattle Department of Transportation","22","21.78","T","Active"
"Not Specified","Female","Parks and Recreation Department","18","25.98","T","Active"
"American Indian or Alaska Native","Female","Seattle Public Utilities","52","33.22","R","Active"
"Asian","Male","Education and Early Learning","34","60.71","R","Active"
"White","Male","Seattle Department of Transportation","42","84.28","R","Active"
"White","Male","Seattle City Light","52","77.36","R","Active"
"Black or African American","Male","Parks and Recreation Department","55","37.49","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","38","60.99","R","Active"
"Two or More Races","Male","Seattle Public Utilities","34","58.75","R","Active"
"White","Female","Seattle Public Utilities","41","65.48","R","Active"
"Asian","Male","Information Technology","69","78.17","R","Active"
